classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (&micro;m&sup2;),Cellular surface area (&micro;m&sup2;),Radial proximity (unitless),Apical proximity (unitless)
Sec61 beta,AICS-10_84_1,28.5336,61.0092,61.2547,148.0773,0.4677971,0.2548368
Fibrillarin,AICS-14_0_1,13.8564,37.41336,35.64736,87.52448,-1,0.4007396
Fibrillarin,AICS-14_0_2,31.52952,74.5362,61.4516,129.821,-1,-0.4907001
Fibrillarin,AICS-14_0_5,17.47008,41.25384,44.32005,93.4551,-1,-0.288274
Fibrillarin,AICS-14_1_3,24.18336,64.88532,46.9567,119.7448,-1,0.4658645
Fibrillarin,AICS-14_1_4,27.11772,59.17212,58.4674,116.8569,-0.859014,-0.08811223
Fibrillarin,AICS-14_1_5,20.48112,48.42612,49.64355,112.003,-1,-0.1166969
Fibrillarin,AICS-14_1_8,12.29688,32.47992,30.29826,70.3911,-1,0.3025914
Fibrillarin,AICS-14_1_9,13.11228,37.85508,38.39304,83.48171,-1,0.2675527
Fibrillarin,AICS-14_2_1,27.01512,67.79268,58.64359,124.9522,-1,0.0621486
Fibrillarin,AICS-14_2_2,22.90464,79.29144,50.3572,164.8144,-1,0.1523858
Fibrillarin,AICS-14_2_3,28.22472,53.7246,60.27407,96.08759,-1,-0.5128633
Fibrillarin,AICS-14_2_9,18.27684,59.10516,40.82851,129.1178,-1,0.5069625
Fibrillarin,AICS-14_3_2,18.00036,61.2738,41.49781,130.8696,-1,0.215492
Fibrillarin,AICS-14_3_3,19.49616,49.70376,43.56864,116.4326,-1,0.5497571
Fibrillarin,AICS-14_3_5,20.65176,43.38792,50.23512,93.40366,-1,-0.6224599
Fibrillarin,AICS-14_4_3,20.32992,42.72696,44.87083,102.8329,-1,-0.1911656
Fibrillarin,AICS-14_4_4,17.64504,39.258,41.45514,92.31177,-1,0.6533135
Fibrillarin,AICS-14_4_5,22.25988,50.8734,48.66883,115.4997,-1,-0.05601701
Fibrillarin,AICS-14_4_6,18.96264,39.57012,44.45483,90.19296,-1,-0.2254391
Fibrillarin,AICS-14_4_8,18.22176,43.16976,44.95229,97.49001,-0.9538447,0.08823875
Fibrillarin,AICS-14_5_1,14.59296,52.4232,34.48837,114.1326,-1,0.2660538
Fibrillarin,AICS-14_5_2,26.08416,78.62832,62.84181,139.3453,-0.9969409,0.1942448
Fibrillarin,AICS-14_5_3,25.08084,50.03532,49.9814,104.566,-1,0.2149041
Fibrillarin,AICS-14_5_4,19.2996,48.3084,48.3639,121.2239,-1,0.2167712
Fibrillarin,AICS-14_5_5,5.03172,47.20032,18.70558,78.02844,-0.9431251,0.2016037
Fibrillarin,AICS-14_6_2,20.18196,47.08476,45.10363,109.2996,-0.9755133,0.05057833
Fibrillarin,AICS-14_6_3,18.2142,58.35996,40.10842,116.9899,-1,0.1024221
Fibrillarin,AICS-14_6_4,18.45612,46.29096,47.67958,123.9089,-1,0.116193
Fibrillarin,AICS-14_6_5,20.25432,47.28564,47.39979,107.6987,-1,-0.01132049
Fibrillarin,AICS-14_6_6,20.60748,37.66176,45.86207,82.3108,-1,-0.1428504
Fibrillarin,AICS-14_7_1,18.92376,42.73236,42.45277,99.94562,-1,-0.2090524
Fibrillarin,AICS-14_7_6,12.64572,114.8591,41.62408,152.5721,0.2712085,-0.576292
Fibrillarin,AICS-14_8_1,25.91136,62.19504,57.51836,144.7313,-1,0.101353
Fibrillarin,AICS-14_8_2,25.1262,50.47488,55.74313,112.722,-1,0.1412632
Fibrillarin,AICS-14_8_4,22.68432,56.58876,47.08191,129.0848,-1,0.0681476
Fibrillarin,AICS-14_8_6,18.9864,49.55796,48.83747,112.5828,-0.8581663,0.3620334
Fibrillarin,AICS-14_9_3,34.32456,106.9751,61.90607,202.1551,-1,-0.4473967
Fibrillarin,AICS-14_10_1,19.44432,48.70152,49.6855,110.2049,-1,0.1512545
Fibrillarin,AICS-14_10_3,21.66264,42.8166,48.83987,88.95358,-0.8667404,0.6882451
Fibrillarin,AICS-14_10_5,17.18064,72.20016,45.88119,145.7273,-0.6374494,-0.08957949
Fibrillarin,AICS-14_10_8,17.11044,38.77308,40.98487,74.5064,-1,-0.2307232
Fibrillarin,AICS-14_10_10,14.87484,36.28908,36.16727,86.95808,-1,-0.8867564
Fibrillarin,AICS-14_11_2,18.46044,43.7508,42.03025,103.1404,-1,-0.04477815
Fibrillarin,AICS-14_12_3,19.23372,44.03808,44.32133,105.2575,-1,0.2454424
Fibrillarin,AICS-14_12_4,21.222,50.41656,45.13451,115.5288,-1,-0.1723125
Fibrillarin,AICS-14_12_8,13.22244,42.07464,32.56869,93.0829,-0.9863959,-0.2625976
Fibrillarin,AICS-14_13_1,20.38068,47.25648,43.63265,94.08889,-1,-0.2400822
Fibrillarin,AICS-14_13_2,25.22124,69.33816,48.38934,140.1654,-1,0.0843012
Fibrillarin,AICS-14_13_3,31.29084,84.17196,56.32401,155.7459,-1,0.4136171
Fibrillarin,AICS-14_13_4,28.2528,68.3424,56.40396,141.5957,-1,0.005375973
Fibrillarin,AICS-14_14_1,26.8488,81.22896,60.99297,174.3841,-0.967459,0.2130246
Fibrillarin,AICS-14_14_3,23.20164,64.3518,48.33188,133.8479,-1,0.5502883
Fibrillarin,AICS-14_14_4,28.63728,69.80364,54.81771,138.8948,-1,0.1284573
Fibrillarin,AICS-14_14_5,26.21052,60.87204,49.40741,112.6986,-1,-0.6329895
Fibrillarin,AICS-14_14_7,20.69604,54.30456,48.2742,110.3601,-1,0.06999077
Fibrillarin,AICS-14_14_8,8.63892,47.77164,24.46442,81.39326,-0.9780223,-0.5770016
Fibrillarin,AICS-14_15_1,18.97452,46.52424,43.09999,116.161,-1,-0.3694498
Fibrillarin,AICS-14_15_2,30.91824,74.601,58.13369,146.1669,-1,-0.2121454
Fibrillarin,AICS-14_16_5,19.05228,65.93508,51.51007,133.3114,-0.8414955,0.5797104
Fibrillarin,AICS-14_17_2,29.4354,86.73156,63.26947,159.0009,-1,0.1993703
Fibrillarin,AICS-14_17_3,16.09848,60.75324,38.51723,129.2651,-0.9083368,-0.2692367
Fibrillarin,AICS-14_17_5,15.38136,52.54632,38.06921,102.7589,-1,0.155522
Fibrillarin,AICS-14_17_8,24.06564,66.6576,53.3601,140.4153,-0.9704711,0.6960461
Fibrillarin,AICS-14_17_10,37.97712,110.5823,71.13032,165.9854,-0.95336,0.1608621
Fibrillarin,AICS-14_18_1,16.18812,42.93972,38.10411,86.56969,-1,-0.4082062
Fibrillarin,AICS-14_18_4,18.86976,43.27236,42.53067,86.84923,-1,-0.4015388
Fibrillarin,AICS-14_18_5,18.45288,60.59664,39.55715,129.9923,-1,-0.1268067
Fibrillarin,AICS-14_18_7,11.61324,57.16656,29.53782,114.9232,-1,-0.7956432
Fibrillarin,AICS-14_19_1,22.90356,65.313,47.75297,130.3951,-1,0.2062084
Fibrillarin,AICS-14_19_2,17.60724,56.37168,37.578,108.721,-1,0.1356229
Fibrillarin,AICS-14_19_3,26.20188,81.31752,50.12433,161.767,-1,0.2822522
Fibrillarin,AICS-14_19_4,20.13228,50.4468,42.86462,107.5225,-1,-0.07915102
Fibrillarin,AICS-14_19_6,15.69348,43.39224,35.58086,83.72401,-1,0.5636055
Fibrillarin,AICS-14_19_7,29.44296,60.68844,57.24733,125.225,-1,-0.2155348
Fibrillarin,AICS-14_20_1,10.91988,42.20748,28.76878,99.22064,-0.9900826,0.2524468
Fibrillarin,AICS-14_20_4,11.11644,39.44916,28.70788,93.14568,-0.9895481,-0.5765242
Fibrillarin,AICS-14_20_5,16.71948,39.30984,41.90536,94.73429,-1,0.000214807
Fibrillarin,AICS-14_21_1,18.08352,47.56428,42.33235,116.0555,-0.9959321,0.3342686
Fibrillarin,AICS-14_21_3,21.30732,62.23284,49.04845,138.9492,-0.9878661,0.6348674
Fibrillarin,AICS-14_21_4,19.10952,50.463,45.30523,124.0444,-1,0.2520599
Fibrillarin,AICS-14_21_5,27.70308,72.67644,66.45087,154.3703,-0.9908302,0.6914949
Fibrillarin,AICS-14_21_6,21.09888,51.0786,46.01347,111.7506,-1,0.05397274
Fibrillarin,AICS-14_21_8,19.07172,46.07712,42.85798,113.1768,-1,0.7852684
Fibrillarin,AICS-14_21_9,20.6388,57.89772,50.3264,140.4621,-1,0.197202
Fibrillarin,AICS-14_21_10,34.43472,85.47336,66.86773,173.2918,-1,-0.2158421
Fibrillarin,AICS-14_22_1,16.68492,43.9506,47.14402,89.48385,-0.7242665,-0.3321393
Fibrillarin,AICS-14_22_2,11.26332,51.3,31.17658,91.43864,-0.9394545,-0.4222045
Fibrillarin,AICS-14_22_6,9.91008,48.96828,26.45924,105.9211,-0.9778088,-0.3797046
Fibrillarin,AICS-14_22_7,24.47928,79.80552,62.65022,185.4308,-0.5379017,-0.146057
Fibrillarin,AICS-14_22_8,14.6286,109.7928,53.63641,147.4861,0.3279035,-0.8460059
Fibrillarin,AICS-14_23_1,42.58872,98.80596,74.4261,180.4719,-1,0.5843239
Fibrillarin,AICS-14_23_2,22.62384,65.57976,51.26458,132.3539,-1,-0.2398348
Fibrillarin,AICS-14_23_3,20.05668,51.42852,43.55603,105.5127,-1,-0.4001927
Fibrillarin,AICS-14_23_5,29.73564,77.75244,56.30996,154.8461,-1,0.1142639
Fibrillarin,AICS-14_23_8,19.74888,50.0688,46.84297,109.0497,-1,-0.1272983
Fibrillarin,AICS-14_23_9,32.40108,74.6388,62.10838,162.4815,-1,0.03951396
Fibrillarin,AICS-14_24_4,31.77684,82.79172,60.27076,148.0571,-1,-0.0523512
Fibrillarin,AICS-14_25_1,17.51976,41.68152,40.90465,97.61187,-1,-0.3709011
Fibrillarin,AICS-14_25_2,22.61844,57.60936,48.01204,124.3735,-1,-0.1693141
Fibrillarin,AICS-14_25_3,22.77936,62.9424,49.71077,157.3466,-1,0.1397067
Fibrillarin,AICS-14_25_4,23.73516,77.69844,60.9467,158.2464,-0.9984418,-0.585742
Fibrillarin,AICS-14_25_6,19.15812,63.37764,47.97808,150.7482,-1,0.005841346
Fibrillarin,AICS-14_25_10,27.33156,64.93608,56.06058,122.2617,-1,0.111371
Fibrillarin,AICS-14_26_1,18.02196,52.6716,38.35883,117.1824,-1,0.01921231
Fibrillarin,AICS-14_26_3,19.27908,51.21252,47.26199,99.95367,-0.8533508,-0.4784053
Fibrillarin,AICS-14_26_6,17.56512,47.5146,38.17657,100.0751,-1,-0.214829
Fibrillarin,AICS-14_26_8,16.6428,36.0558,37.31493,77.85606,-1,-0.7601839
Fibrillarin,AICS-14_26_9,20.7954,50.33016,45.91047,105.3002,-0.9987491,-0.1824567
Fibrillarin,AICS-14_27_1,15.72264,41.76684,41.84177,94.04986,-1,-0.2620216
Fibrillarin,AICS-14_27_2,30.85344,80.1036,62.37152,181.6192,-1,0.1175139
Fibrillarin,AICS-14_28_1,22.91112,61.77384,45.16287,118.2317,-1,-0.4734301
Fibrillarin,AICS-14_28_2,21.98772,65.84868,49.55243,133.9556,-1,0.2836224
Fibrillarin,AICS-14_28_5,19.04472,144.4446,65.89118,194.1126,-0.1386952,-0.1277891
Fibrillarin,AICS-14_28_7,23.94036,55.31328,53.94991,128.0777,-1,0.2980623
Fibrillarin,AICS-14_29_2,18.8082,51.69744,43.21367,115.9359,-1,-0.8249644
Fibrillarin,AICS-14_29_3,21.77172,48.58272,43.68904,93.2914,-1,0.160958
Fibrillarin,AICS-14_29_4,26.15328,62.06868,50.30527,123.5824,-1,-0.5936297
Fibrillarin,AICS-14_29_8,17.98848,46.467,40.5589,99.697,-1,-0.4854967
Fibrillarin,AICS-14_30_1,24.867,59.56956,48.07663,119.648,-1,0.3308696
Fibrillarin,AICS-14_30_2,32.63328,75.627,57.5385,141.2005,-1,0.03311238
Fibrillarin,AICS-14_30_3,22.43268,56.781,47.09924,114.4014,-1,0.6310409
Fibrillarin,AICS-14_30_4,16.11576,43.5132,36.55604,104.0034,-1,-0.4089779
Fibrillarin,AICS-14_30_5,24.56568,64.80648,53.52386,147.0912,-1,0.2973392
Fibrillarin,AICS-14_30_6,18.7812,46.656,40.69849,105.2499,-1,-0.4128193
Fibrillarin,AICS-14_30_8,34.77924,84.35016,64.40894,172.9715,-1,-0.2269202
Fibrillarin,AICS-14_31_2,17.87508,47.88072,40.54037,106.595,-1,0.03422476
Fibrillarin,AICS-14_31_3,14.11884,40.85856,35.52985,90.93239,-1,-0.007374504
Fibrillarin,AICS-14_31_4,15.99372,37.33668,35.9726,85.37831,-1,-0.03503485
Fibrillarin,AICS-14_31_5,19.71864,55.22256,41.4828,111.2606,-1,-0.2750718
Fibrillarin,AICS-14_31_7,18.28116,45.846,39.4994,103.7015,-0.9965124,0.2561908
Fibrillarin,AICS-14_31_10,14.80464,45.31788,38.59233,106.1252,-1,0.4622438
Fibrillarin,AICS-14_32_3,14.17824,48.07188,37.05485,95.26993,-0.7421774,0.2656071
Fibrillarin,AICS-14_32_6,18.78876,51.83784,40.02436,114.1048,-1,-0.4023894
Fibrillarin,AICS-14_32_7,17.75952,54.79596,44.8944,127.1113,-0.8470036,0.3065259
Fibrillarin,AICS-14_33_1,41.10912,118.2006,82.28099,236.6946,-1,-0.1150735
Fibrillarin,AICS-14_33_3,24.95556,75.56868,54.39064,132.6986,-1,-0.04853758
Fibrillarin,AICS-14_34_4,20.14632,72.47232,43.69794,158.2456,-1,-0.04315481
Fibrillarin,AICS-14_35_1,23.90256,60.74244,47.73075,133.0777,-1,0.4311286
Fibrillarin,AICS-14_35_2,19.40112,54.66312,40.40453,109.0401,-1,0.1998128
Fibrillarin,AICS-14_35_3,27.49788,96.27552,54.04766,186.2333,-1,0.2489296
Fibrillarin,AICS-14_35_4,22.60008,64.3356,48.96788,145.8326,-1,-0.3243746
Fibrillarin,AICS-14_35_5,24.51708,60.64524,50.74318,139.609,-1,-0.03906292
Fibrillarin,AICS-14_35_6,36.6228,83.33388,64.25803,169.1205,-1,0.3576367
Beta actin,AICS-16_0_2,17.94096,45.684,39.68417,99.32549,0.9806691,-0.1832726
Beta actin,AICS-16_0_3,17.79948,59.88816,43.68218,116.3068,0.9786099,-0.1853453
Beta actin,AICS-16_0_4,16.11468,39.60792,36.4402,95.67533,0.9362344,-0.4106479
Beta actin,AICS-16_0_5,26.52048,57.10824,55.33386,117.7213,0.967307,-0.4038469
Beta actin,AICS-16_0_6,14.50224,36.56124,34.95091,79.65031,0.8593661,-0.2474299
Beta actin,AICS-16_0_7,14.57352,39.00744,35.64842,92.18468,0.9780653,-0.1913919
Beta actin,AICS-16_0_9,15.57036,50.08284,36.58433,103.5243,0.9935008,-0.4552344
Beta actin,AICS-16_0_10,14.98824,49.83876,38.5539,99.09756,0.9993834,0.3790689
Beta actin,AICS-16_1_5,21.00384,44.7228,49.88055,93.56901,0.8889472,-0.4038225
Beta actin,AICS-16_1_6,23.97168,62.68536,48.15837,119.7964,0.7928306,-0.2295068
Beta actin,AICS-16_1_7,18.80712,44.00784,40.94802,95.35096,0.8245075,-0.1360621
Beta actin,AICS-16_1_8,14.09076,51.0516,39.76801,113.2195,0.9746651,-0.1522983
Beta actin,AICS-16_1_10,23.29884,50.43276,51.63421,96.3239,0.8423558,0.1290813
Beta actin,AICS-16_1_11,26.89308,49.88412,54.84156,116.5537,0.9091835,0.333653
Beta actin,AICS-16_1_16,29.32848,58.10292,58.33251,108.528,0.8887231,0.6567971
Beta actin,AICS-16_2_1,31.42692,94.53348,57.16203,197.4454,0.9245241,-0.80911
Beta actin,AICS-16_2_3,18.58572,58.32108,39.47249,121.1881,0.9666182,-0.4483247
Beta actin,AICS-16_2_4,16.12332,53.19432,40.12749,134.8178,0.9635216,-0.5908243
Beta actin,AICS-16_2_5,20.16252,52.58844,50.77826,107.082,0.8176847,-0.6277106
Beta actin,AICS-16_2_6,30.07692,59.95404,60.26687,122.5753,0.7905106,-0.03162632
Beta actin,AICS-16_2_7,24.61212,80.91036,59.28593,165.1743,0.9775233,-0.753687
Beta actin,AICS-16_2_8,24.81516,82.41912,48.63963,184.4659,0.9292163,-0.5911614
Beta actin,AICS-16_2_9,21.06756,61.98552,43.22728,131.5799,0.9644347,-0.6027192
Beta actin,AICS-16_2_13,18.80172,43.9506,43.22123,97.66633,0.8383988,-0.6910649
Beta actin,AICS-16_3_1,18.25308,47.63232,39.7688,99.00131,0.9403741,-0.2513428
Beta actin,AICS-16_3_6,23.98788,54.77112,52.02884,126.127,0.8598358,-0.423384
Beta actin,AICS-16_4_2,18.61056,56.79612,39.07656,112.5396,0.9722782,-0.328274
Beta actin,AICS-16_4_3,19.91412,57.4506,42.07253,125.1139,0.8339496,-0.7562611
Beta actin,AICS-16_4_4,20.40552,58.10184,42.93126,116.6496,1,0.02526174
Beta actin,AICS-16_4_5,17.334,57.62232,37.96082,122.755,0.9510058,-0.1967333
Beta actin,AICS-16_4_6,17.59968,47.76948,40.36496,104.5774,0.9901456,-0.7202553
Beta actin,AICS-16_4_7,20.49732,49.55796,47.31517,123.3055,0.7312198,-0.5905522
Beta actin,AICS-16_5_1,20.763,58.85568,52.19962,110.6328,0.8120691,-0.06947798
Beta actin,AICS-16_5_2,18.82872,49.383,42.24582,112.6972,0.8959668,-0.5458853
Beta actin,AICS-16_5_3,30.02832,96.2226,56.48378,168.8763,0.8084824,-0.4496239
Beta actin,AICS-16_5_4,19.96812,58.29624,43.15233,114.6195,0.9302784,-0.7622093
Beta actin,AICS-16_5_5,18.33624,45.49068,40.90903,117.2193,0.7169126,-0.1179654
Beta actin,AICS-16_5_6,21.66048,56.23884,44.04325,122.5651,0.9317474,-0.1139994
Beta actin,AICS-16_5_7,19.91088,57.85992,51.73539,133.4783,0.8291627,-0.6653437
Beta actin,AICS-16_5_8,22.545,70.49808,44.38022,132.6545,0.9315364,-0.8757731
Beta actin,AICS-16_5_9,16.89336,38.41776,39.3527,95.14379,0.7048376,-0.5535604
Beta actin,AICS-16_6_1,22.53636,50.45868,48.29464,108.6541,0.6509313,-0.6044458
Beta actin,AICS-16_6_2,27.2646,84.19896,52.41212,160.7483,0.8024443,-0.7232517
Beta actin,AICS-16_6_3,27.16956,72.05544,58.00405,145.0651,0.8756385,-0.5927153
Beta actin,AICS-16_6_4,17.88804,65.6532,38.0859,124.9652,0.9971402,-0.6639301
Beta actin,AICS-16_6_5,29.03148,85.94748,53.02267,144.0641,0.9497783,-0.3280694
Beta actin,AICS-16_6_6,25.02036,66.80556,48.83775,136.2374,0.8440485,-0.3105768
Beta actin,AICS-16_6_8,21.64752,58.93128,57.2094,144.5588,0.9989328,-0.7249134
Beta actin,AICS-16_7_1,23.65848,51.78816,49.2533,111.5727,0.8690568,-0.2978849
Beta actin,AICS-16_7_2,15.3252,41.9418,35.87666,102.191,0.9047693,-0.5892851
Beta actin,AICS-16_7_3,19.53288,49.54068,41.07256,106.7648,0.9803742,-0.165516
Beta actin,AICS-16_7_4,28.701,77.50404,54.14492,160.8855,0.9921906,-0.8254309
Beta actin,AICS-16_7_5,15.86412,46.53072,39.12003,99.99374,0.9752405,-0.6289098
Beta actin,AICS-16_7_6,31.1202,58.41396,58.82645,108.3944,0.7472261,-0.06628756
Beta actin,AICS-16_7_7,29.4462,83.07252,73.28387,175.9753,0.9435312,-0.3231851
Beta actin,AICS-16_7_8,21.1572,58.20876,42.39978,115.3901,0.9364597,-0.4482747
Beta actin,AICS-16_8_4,26.3196,87.02424,53.11122,197.3002,0.8003824,-0.2904028
Beta actin,AICS-16_9_5,20.24136,60.2802,44.09586,131.7323,0.99019,-0.7758755
Beta actin,AICS-16_9_7,26.21484,71.77032,50.34655,134.6634,0.8870176,-0.6475557
Beta actin,AICS-16_9_8,20.15604,65.38752,46.67033,133.4669,0.9443379,-0.5114424
Beta actin,AICS-16_10_2,17.84376,53.39628,44.1484,124.66,0.9165096,-0.6305812
Beta actin,AICS-16_11_1,31.67424,97.08336,74.79246,181.0228,0.9589691,-0.2728196
Beta actin,AICS-16_11_2,23.53428,88.62048,63.70642,158.8362,1,-0.8035921
Beta actin,AICS-16_11_3,26.3736,66.42432,52.17753,129.6529,0.9818423,-0.7725573
Beta actin,AICS-16_11_5,16.93332,54.05184,41.67671,110.9062,0.9913511,-0.7380239
Beta actin,AICS-16_11_6,29.89008,72.66024,58.21603,139.5126,0.9612679,0.1125589
Beta actin,AICS-16_11_7,14.72688,94.959,57.59233,135.0941,0.9994964,0.1961787
Beta actin,AICS-16_11_8,33.14952,94.11444,60.80728,171.5678,0.9594852,-0.7911512
Beta actin,AICS-16_11_9,22.17564,62.80632,50.23323,125.5275,0.9904292,-0.7131031
Beta actin,AICS-16_11_10,25.57548,66.58308,63.23654,117.4208,0.9326448,-0.2339398
Beta actin,AICS-16_11_11,20.5578,71.0424,58.52743,132.3604,0.9509932,-0.4138668
Beta actin,AICS-16_11_12,29.15568,86.73048,69.17644,163.7431,1,-0.8101915
Beta actin,AICS-16_11_14,16.0974,45.23904,37.52648,105.0245,0.9905939,-0.714963
Beta actin,AICS-16_12_1,22.9338,56.63736,46.47301,115.0357,0.8015671,-0.1793518
Beta actin,AICS-16_12_3,28.73016,79.96968,55.11895,154.8433,0.9355649,-0.4856704
Beta actin,AICS-16_12_4,22.29228,54.73224,64.52293,115.4168,0.5937624,0.001826104
Beta actin,AICS-16_12_5,15.26796,44.04888,35.80705,91.09917,0.9863565,-0.02394372
Beta actin,AICS-16_12_6,21.32676,52.33896,58.0042,106.689,0.9018525,-0.117023
Beta actin,AICS-16_12_7,27.30996,79.6608,64.3027,127.2347,0.995994,-0.1412275
Beta actin,AICS-16_12_8,17.23248,45.65808,48.34436,103.9196,0.996377,-0.6073218
Beta actin,AICS-16_12_9,26.49024,70.8156,49.77841,132.6984,0.9459063,-0.4672978
Beta actin,AICS-16_12_10,25.056,66.34116,64.32009,117.033,0.951382,-0.2013628
Beta actin,AICS-16_12_11,22.9716,58.62024,48.20309,117.3972,0.9640296,-0.3935576
Beta actin,AICS-16_12_12,28.27224,68.43744,60.17126,127.6684,0.9864362,-0.402157
Beta actin,AICS-16_12_16,15.60168,51.45768,39.38073,102.9251,1,-0.5765783
Beta actin,AICS-16_13_1,11.96532,42.14916,36.83224,94.10275,0.9772397,-0.4426167
Beta actin,AICS-16_13_4,21.36672,57.04344,44.5728,123.1996,0.9717985,-0.120297
Beta actin,AICS-16_13_5,14.8338,45.05652,43.11475,113.8391,0.9740855,-0.07110628
Beta actin,AICS-16_13_6,15.21936,48.45744,49.55413,102.7624,0.8685985,-0.3691458
Beta actin,AICS-16_13_7,20.36556,56.98404,43.73226,125.108,0.9961552,0.1977961
Beta actin,AICS-16_13_8,18.25092,49.52556,41.14148,106.7104,0.9564366,0.05580797
Beta actin,AICS-16_13_10,16.86528,48.69072,54.22488,107.4968,0.9610611,-0.08584172
Beta actin,AICS-16_13_14,22.27824,62.86896,53.77672,130.1091,1,-0.8358077
Beta actin,AICS-16_13_15,15.39648,48.26628,39.99674,98.0439,0.9879602,-0.5958089
Beta actin,AICS-16_14_1,13.77648,42.89652,33.39306,87.8819,1,-0.878329
Beta actin,AICS-16_14_3,16.47108,59.93352,44.3115,124.5674,0.9614889,-0.3718812
Beta actin,AICS-16_14_5,30.6558,99.0522,58.65407,188.721,0.9309941,0.1002551
Beta actin,AICS-16_14_6,33.32556,100.0512,58.59072,168.8025,0.9068265,-0.313331
Beta actin,AICS-16_15_2,17.65476,51.9912,40.59925,115.2495,0.9233587,0.01688015
Beta actin,AICS-16_15_3,17.36856,42.85008,37.58332,91.94753,0.930087,-0.1870095
Beta actin,AICS-16_15_5,24.52896,63.49104,48.29311,127.4312,0.9244952,-0.3599132
Beta actin,AICS-16_15_6,28.87164,80.3196,55.20401,165.3743,0.8614644,-0.4205398
Beta actin,AICS-16_15_8,19.10196,50.21676,41.01355,97.38885,0.9818986,-0.5236101
Beta actin,AICS-16_15_9,18.03384,48.762,41.29728,100.1806,0.9691311,-0.607344
Beta actin,AICS-16_15_12,15.20748,48.4056,48.97063,103.6814,0.9757959,-0.407724
Beta actin,AICS-16_15_14,21.5514,48.01464,43.64624,91.48691,0.8509771,-0.1406619
Beta actin,AICS-16_16_1,19.629,44.63532,43.13662,98.57404,0.7833566,-0.2347352
Beta actin,AICS-16_16_2,11.95992,43.8912,39.65085,91.00063,0.98489,-0.5254318
Beta actin,AICS-16_16_3,21.5136,48.52116,48.85973,97.8328,0.9243377,-0.39625
Beta actin,AICS-16_16_4,33.23916,88.2198,61.36541,156.4825,0.919403,-0.438193
Beta actin,AICS-16_16_5,24.82704,56.17404,50.49567,127.0162,0.8992402,-0.04641509
Beta actin,AICS-16_16_6,18.71964,47.5524,40.23298,91.86835,0.9560054,-0.2978803
Beta actin,AICS-16_16_7,22.56876,55.3662,44.96742,115.5032,0.8965302,-0.1236845
Beta actin,AICS-16_16_8,30.37608,95.4936,71.74038,164.8209,0.992269,-0.3927895
Beta actin,AICS-16_16_10,15.2388,50.17248,51.72408,100.2091,0.9949423,-0.3854012
Beta actin,AICS-16_17_1,22.12704,63.66168,52.91848,127.6199,0.9562615,0.01942757
Beta actin,AICS-16_17_2,21.735,59.54796,46.47478,137.6438,0.9255446,-0.5669118
Beta actin,AICS-16_17_4,27.999,67.90284,52.95429,120.4807,0.8740885,-0.1705635
Beta actin,AICS-16_17_5,26.6328,81.9558,61.05658,135.8952,0.9431969,-0.1698159
Beta actin,AICS-16_17_6,21.9834,58.6926,46.61999,125.0936,0.9404836,-0.3109962
Beta actin,AICS-16_17_8,23.14548,70.64604,50.70145,146.3463,0.9886371,0.003054716
Beta actin,AICS-16_17_9,17.14932,46.4616,37.76155,111.1973,0.9494629,-0.04922041
Beta actin,AICS-16_18_2,13.45464,41.3532,32.82795,88.04176,0.9580904,-0.0547923
Beta actin,AICS-16_18_3,28.94616,78.60024,56.06078,152.132,0.9223616,-0.3329886
Beta actin,AICS-16_18_4,21.30516,65.75472,51.92113,138.598,0.9760321,-0.2033316
Beta actin,AICS-16_18_5,16.29828,44.01,36.07613,90.40404,0.9747573,-0.2519519
Beta actin,AICS-16_18_6,32.80392,74.84616,59.12592,134.9434,0.9425478,-0.03734094
Beta actin,AICS-16_19_1,17.1126,42.39216,37.24748,92.71103,0.9603418,-0.2641652
Beta actin,AICS-16_19_2,25.52688,71.16444,51.54747,140.7332,0.9702865,0.3457585
Beta actin,AICS-16_19_3,24.91884,64.23192,48.56626,124.1518,0.9059902,-0.3179554
Beta actin,AICS-16_19_4,16.84368,50.21028,40.00409,103.5348,0.9889302,-0.2507612
Beta actin,AICS-16_19_5,13.43628,54.64476,31.62527,93.17901,1,-0.08669595
Beta actin,AICS-16_19_6,17.2854,41.61564,41.95776,94.46334,0.7123615,0.012395
Beta actin,AICS-16_19_7,18.30708,42.16968,44.92141,93.42635,0.9498001,0.002063267
Beta actin,AICS-16_19_8,16.01964,94.95144,53.48584,134.7205,0.9996883,0.2709948
Beta actin,AICS-16_19_9,19.71432,50.55048,46.23234,101.3789,0.9741299,-0.4708132
Beta actin,AICS-16_19_10,17.04888,48.95532,39.61631,96.88021,0.4250568,-0.3165611
Beta actin,AICS-16_19_12,21.02004,60.42924,43.30465,131.7395,0.8475759,-0.3291803
Beta actin,AICS-16_19_13,28.41372,71.60724,53.43913,136.5098,0.969803,-0.4700004
Beta actin,AICS-16_20_3,20.78136,43.57908,44.55584,96.0881,0.8950976,-0.3553284
Beta actin,AICS-16_20_8,17.9118,29.19564,44.6922,72.71152,0.8747274,-0.191608
Beta actin,AICS-16_20_9,28.48608,61.35912,75.68811,105.2569,0.8959325,0.1497785
Sec61 beta,AICS-10_85_1,34.5438,97.93332,64.56613,181.1664,0.4932902,-0.04941467
Sec61 beta,AICS-10_85_4,16.24104,46.35576,38.39064,97.55749,0.4991284,-0.2206424
