classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (&micro;m&sup2;),Cellular surface area (&micro;m&sup2;),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_12_3,24.24816,59.09004,53.17447,140.9095,0.8925413,0.0860857
Tom20,AICS-11_12_6,15.2658,47.41308,34.92588,101.2508,0.7887606,0.02560202
Tom20,AICS-11_12_7,34.0092,93.62412,66.08946,162.7601,0.8856571,-0.1360445
Tom20,AICS-11_12_8,11.47392,43.41168,28.77078,94.61359,0.9764323,0.1417555
Tom20,AICS-11_13_1,29.65356,63.98568,54.18846,133.0866,0.9349446,0.3118285
Tom20,AICS-11_13_2,30.01968,67.54644,55.09305,138.5422,0.9274189,-0.08799294
Tom20,AICS-11_13_3,17.8416,50.85504,38.1053,100.4908,0.9108035,0.1307698
Tom20,AICS-11_13_4,22.81284,51.2406,49.85631,117.7627,0.9801165,0.2502511
Tom20,AICS-11_13_6,19.21536,45.2574,41.46296,108.0337,0.9289111,0.1456534
Tom20,AICS-11_13_7,20.1042,53.53776,40.92155,104.4456,0.8679324,0.4555157
Tom20,AICS-11_13_8,19.77372,43.56936,43.53822,107.9561,0.8435336,0.02836009
Tom20,AICS-11_14_1,20.82024,52.68132,43.23592,121.6827,0.8558361,0.2563652
Tom20,AICS-11_14_2,25.09488,56.89008,50.19023,116.5375,0.8489611,0.175775
Tom20,AICS-11_14_3,25.64892,61.64532,51.58927,140.4239,0.9283155,0.2443391
Tom20,AICS-11_14_4,24.75792,56.70864,48.01552,116.8161,0.8809056,0.3622848
Tom20,AICS-11_14_5,14.71068,36.4932,35.91231,75.24073,0.9493856,0.5379481
Tom20,AICS-11_14_6,25.91244,62.15724,52.36664,118.1421,0.9074036,0.2504228
Tom20,AICS-11_14_7,17.73684,44.307,38.89365,98.13279,0.9346649,0.1706806
Tom20,AICS-11_14_8,19.81908,49.63248,41.29064,104.9455,0.9759125,0.1112258
Tom20,AICS-11_15_1,7.6518,45.04572,23.05607,92.07214,0.9790874,-0.1355074
Tom20,AICS-11_15_2,15.84792,87.12684,59.29306,131.737,0.9141194,-0.2253354
Tom20,AICS-11_15_3,7.89156,39.69216,23.24053,77.29169,0.9550317,0.5357008
Tom20,AICS-11_15_4,18.78768,43.14708,40.48925,92.40461,0.8988137,0.1062445
Tom20,AICS-11_15_5,18.9594,54.3996,41.42426,133.848,0.9575381,0.1195117
Tom20,AICS-11_15_6,15.50232,47.65608,36.53225,111.5673,0.9145312,0.2664231
Tom20,AICS-11_15_7,19.68624,47.31372,42.16106,96.62467,0.9244357,0.6699891
Tom20,AICS-11_16_1,24.27948,67.07448,55.0862,135.4496,0.9446774,0.5913044
Tom20,AICS-11_16_2,30.3102,75.64752,56.3684,146.3256,0.980636,0.6560679
Tom20,AICS-11_16_3,34.73388,85.4226,59.89949,163.684,0.9266113,0.302827
Tom20,AICS-11_16_4,14.8608,44.15256,34.52334,96.794,0.9433978,-0.0332764
Tom20,AICS-11_16_5,9.75348,44.7552,26.14081,79.63058,0.9397208,0.3667451
Tom20,AICS-11_16_6,22.6206,57.96684,46.6654,109.0574,0.9093706,0.5504302
Tom20,AICS-11_16_7,17.14716,48.14532,41.57259,114.8872,0.9255186,-0.07872963
Tom20,AICS-11_17_1,31.76712,81.78624,59.54464,171.2558,0.825632,-0.03266058
Tom20,AICS-11_17_3,18.63648,48.5244,41.08756,109.3372,0.8920459,0.1732089
Tom20,AICS-11_17_4,17.7768,45.684,43.37557,105.7816,0.9331679,0.4949511
Tom20,AICS-11_17_5,17.80596,38.93508,39.39279,94.74567,0.9383192,0.1544137
Tom20,AICS-11_18_1,25.81524,63.38844,49.24045,140.4013,0.9924374,-0.07436638
Tom20,AICS-11_18_3,22.96188,62.0136,61.82735,131.1303,0.9797562,0.5470061
Tom20,AICS-11_18_4,28.57572,59.97132,55.67833,119.2266,0.9532673,0.7734612
Tom20,AICS-11_18_5,17.0316,48.72852,43.31606,111.4912,0.982576,0.2516473
Tom20,AICS-11_18_6,31.9896,93.65112,61.34385,208.7058,0.9057391,-0.2110846
Tom20,AICS-11_18_7,28.728,73.62684,64.93397,156.4724,0.9200648,-0.5789614
Tom20,AICS-11_19_1,34.62372,78.95124,63.75532,150.671,0.9478325,0.3187039
Tom20,AICS-11_19_3,20.763,43.67844,46.41324,104.5925,0.9975665,0.3969245
Tom20,AICS-11_19_4,19.7154,44.54352,43.13916,111.2546,0.9608009,-0.09337336
Tom20,AICS-11_19_5,16.93224,41.04432,38.09875,97.50155,0.9690267,0.2163702
Tom20,AICS-11_19_6,17.78436,36.14868,42.91115,93.92737,0.9595793,0.1504321
Tom20,AICS-11_20_1,24.867,63.37116,51.65684,158.0714,0.9540923,0.0172848
Tom20,AICS-11_20_2,31.47336,81.73764,58.86327,169.9346,0.9244587,0.5125912
Tom20,AICS-11_20_3,10.38204,48.47904,26.90705,90.44819,0.8665332,0.2986669
Tom20,AICS-11_20_5,10.54296,53.07336,27.35634,94.91738,0.8636202,0.2834485
Tom20,AICS-11_21_2,15.47532,47.62152,36.52998,97.70242,0.81007,0.2224254
Tom20,AICS-11_21_3,19.3212,43.69248,43.35964,108.1398,0.9253982,-0.6409932
Tom20,AICS-11_21_4,23.35176,54.65556,50.6904,128.2072,0.9340963,0.5776021
Tom20,AICS-11_21_5,17.42688,40.8618,43.45683,107.2478,0.8798813,0.007933469
Tom20,AICS-11_21_6,27.46764,69.88032,55.3132,150.7413,0.9588762,0.05120509
Tom20,AICS-11_21_9,25.5096,63.73944,50.62656,134.2739,0.9893317,0.1130861
Tom20,AICS-11_21_11,19.4616,44.78112,44.0649,116.6082,0.688269,-0.6083382
Tom20,AICS-11_21_12,10.9296,53.892,27.8902,95.73728,0.9291351,0.5062401
Tom20,AICS-11_22_2,24.0786,64.99548,51.09833,129.1383,0.7151586,-0.03070566
Tom20,AICS-11_22_3,18.90216,48.2922,44.92197,121.5592,0.9181414,0.247115
Tom20,AICS-11_22_4,14.03352,47.34936,33.82917,104.9087,0.8971375,0.02527679
Tom20,AICS-11_22_5,27.96444,80.33148,55.9387,185.0453,0.9399632,0.2180855
Tom20,AICS-11_22_6,11.05056,50.598,28.01621,106.7446,0.832317,0.3964978
Tom20,AICS-11_22_7,11.5128,43.76484,28.8044,95.07726,0.8554914,0.5423226
Tom20,AICS-11_23_2,20.061,48.67344,43.60157,116.1488,0.8316818,0.6396561
Tom20,AICS-11_23_3,24.01812,58.24224,50.16743,130.7266,0.9551434,-0.0729771
Tom20,AICS-11_23_4,18.86328,50.28696,42.02117,112.6503,0.8370984,0.3882258
Tom20,AICS-11_23_6,19.85688,50.69736,43.67648,115.2926,0.8812416,-0.04853272
Tom20,AICS-11_23_7,20.34396,52.20288,45.21206,120.5363,0.7572169,-0.2982078
Tom20,AICS-11_23_8,18.40968,45.18072,40.4822,111.3634,0.9314808,0.105516
Tom20,AICS-11_23_9,26.73648,68.49144,50.7867,135.8911,0.7659011,0.03029156
Tom20,AICS-11_24_1,30.32316,86.3568,59.08655,184.1131,0.8464392,-0.223716
Tom20,AICS-11_24_2,26.53668,59.08248,53.8311,132.8665,0.9376521,0.6500974
Tom20,AICS-11_24_4,19.47888,44.6202,42.13053,93.35208,0.9001181,0.2741745
Tom20,AICS-11_24_6,17.82,43.2702,39.39959,95.12247,0.8102596,-0.08113869
Tom20,AICS-11_25_1,27.64044,61.31808,52.58242,123.6823,0.8520911,-0.1929846
